goos: darwin
goarch: arm64
pkg: github.com/phiryll/lexy
BenchmarkNothing-10        	1000000000	         0.3107 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3105 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3105 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3106 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3104 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3104 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3106 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3106 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3105 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3106 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3124 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3107 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3106 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3119 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3104 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3104 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3107 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3103 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3104 ns/op	       0 B/op	       0 allocs/op
BenchmarkNothing-10        	1000000000	         0.3108 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	592584664	         2.024 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	589954791	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590158492	         2.058 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	589902226	         2.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590278238	         2.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590050518	         2.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590510858	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590224892	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	589640989	         2.044 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590784621	         2.036 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590809224	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590740996	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	588431556	         2.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590148093	         2.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	588965968	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590700285	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590534589	         2.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	590991687	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	591476454	         2.035 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append_nil-10         	589606707	         2.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	592560403	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	590331961	         2.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	589981984	         2.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	590306430	         2.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	591402972	         2.028 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	590508924	         2.060 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	579120646	         2.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	589125361	         2.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	592732483	         2.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	592203884	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	592010936	         2.028 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	591405036	         2.036 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	592294736	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	591093331	         2.035 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	582896954	         2.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	583818261	         2.066 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/append-10             	589608277	         2.032 ns/op	       0 B/op	       0 allocs/op
